,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса
236,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №2,APP1,1100360738,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-01,2022-02-12,1,2,перенос в другой месяц
599,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364220,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-01,2022-02-01,1,2,перенос в другой месяц
575,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381289,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-04,2022-02-05,1,2,перенос в другой месяц
15,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №1,APP1,1100360305,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-04,2022-02-11,1,2,перенос в другой месяц
537,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №1,APP1,1100363036,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-04,2022-10-18,1,10,перенос в другой месяц
117,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381243,ТР Самосвал HD1500-8 №1622,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-06,2022-01-04,1,1,без переноса
83,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №1,APP1,1100360699,Техническое обслуживание 1,ЧПЕЧ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-06,2022-01-17,1,1,без переноса
346,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №2,APP1,1100361446,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-06,2022-02-06,1,2,перенос в другой месяц
409,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №2,APP1,1100360254,Техническое обслуживание 2,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-10,2022-01-24,1,1,без переноса
600,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №2,APP1,1100364236,Техническое обслуживание 2,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-12,2022-02-12,1,2,перенос в другой месяц
16,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №3,APP1,1100360317,Техническое обслуживание 3,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-16,2022-01-22,1,1,без переноса
49,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100380358,ТР Самосвал HD1500-8 №1621,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-16,2022-01-22,1,1,без переноса
17,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №3,APP1,1100360317,Техническое обслуживание 3,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-16,2022-01-22,1,1,без переноса
190,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100380777,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-20,2022-03-29,1,3,перенос в другой месяц
156,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №1,APP1,1100360751,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-20,2022-01-12,1,1,без переноса
655,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381342,ТР Самосвал HD1500-8 №1630,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  ГИП  ССПЛ,2022-01-24,2022-02-01,1,2,перенос в другой месяц
278,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100380736,ТР Самосвал HD1500-8 №1624,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-24,2022-01-25,1,1,без переноса
237,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №1,APP1,1100360730,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-24,2022-01-20,1,1,без переноса
601,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364221,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-24,2022-02-24,1,2,перенос в другой месяц
507,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381174,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-25,2022-02-16,1,2,перенос в другой месяц
471,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №2,APP1,1100360281,Техническое обслуживание 2,ЧПЕЧ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-25,2022-01-14,1,1,без переноса
380,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381308,ТР Самосвал HD1500-8 №1626,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-27,2022-01-29,1,1,без переноса
347,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №1,APP1,1100361278,Техническое обслуживание 1,ЧПЕЧ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-27,2022-01-15,1,1,без переноса
84,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №4,APP1,1100360793,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-01-27,2022-03-26,1,3,перенос в другой месяц
381,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381308,ТР Самосвал HD1500-8 №1626,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-27,2022-01-29,1,1,без переноса
538,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №4,APP1,1100363110,Техническое обслуживание 4,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-27,2022-01-21,1,1,без переноса
445,Самосвал карьерный HD1500-8 №1627,100000022743,ТР Самосвал HD1500-8 №1627,Текущий ремонт,APP1,1100381270,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-31,2022-02-14,1,2,перенос в другой месяц
410,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №1,APP1,1100360118,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-31,2022-02-13,1,2,перенос в другой месяц
602,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №5,APP1,1100364250,Техническое обслуживание 5,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-04,2022-03-07,2,3,перенос в другой месяц
50,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100380359,ТР Самосвал HD1500-8 №1621,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-02-06,2022-02-11,2,2,без переноса
18,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №1,APP1,1100360308,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-02-06,2022-03-20,2,3,перенос в другой месяц
191,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100380778,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-02-11,2022-02-14,2,2,без переноса
157,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №4,APP1,1100360805,Техническое обслуживание 4,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-02-11,2022-02-02,2,2,без переноса
472,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №1,APP1,1100360165,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-02-15,2022-02-15,2,2,без переноса
238,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №3,APP1,1100360822,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-16,2022-03-21,2,3,перенос в другой месяц
279,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100380737,ТР Самосвал HD1500-8 №1624,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-02-16,2022-02-12,2,2,без переноса
603,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364222,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-02-16,2022-03-19,2,3,перенос в другой месяц
656,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381343,ТР Самосвал HD1500-8 №1630,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-02-16,2022-02-24,2,2,без переноса
576,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381290,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-02-19,2022-02-10,2,2,без переноса
539,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №1,APP1,1100363037,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-02-19,2022-02-10,2,2,без переноса
411,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №4,APP1,1100360268,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-21,2022-03-05,2,3,перенос в другой месяц
348,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №3,APP1,1100361450,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-21,2022-03-17,2,3,перенос в другой месяц
446,Самосвал карьерный HD1500-8 №1627,100000022743,ТР Самосвал HD1500-8 №1627,Текущий ремонт,APP1,1100381271,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-02-21,2022-03-05,2,3,перенос в другой месяц
382,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381309,ТР Самосвал HD1500-8 №1626,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПЗТГ СГГС,2022-02-21,2022-02-06,2,2,без переноса
85,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №1,APP1,1100360780,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-02-23,2022-02-27,2,2,без переноса
118,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381244,ТР Самосвал HD1500-8 №1622,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-02-23,2022-02-07,2,2,без переноса
604,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №2,APP1,1100364237,Техническое обслуживание 2,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-02-27,2022-03-30,2,3,перенос в другой месяц
19,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №2,APP1,1100360314,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-01,2022-03-15,3,3,без переноса
51,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100381260,ТР Самосвал HD1500-8 №1621,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-01,2022-03-15,3,3,без переноса
158,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №1,APP1,1100360752,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-03-07,2022-02-23,3,2,перенос в другой месяц
192,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100380779,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-03-07,2022-03-05,3,3,без переноса
473,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №4,APP1,1100360295,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-08,2022-03-08,3,3,без переноса
280,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100380738,ТР Самосвал HD1500-8 №1624,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-08,2022-03-08,3,3,без переноса
239,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №1,APP1,1100360731,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-08,2022-03-01,3,3,без переноса
508,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381175,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-08,2022-03-08,3,3,без переноса
605,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364223,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-11,2022-04-11,3,4,перенос в другой месяц
657,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381344,ТР Самосвал HD1500-8 №1630,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-11,2022-03-19,3,3,без переноса
383,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381310,ТР Самосвал HD1500-8 №1626,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-13,2022-03-13,3,3,без переноса
349,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №1,APP1,1100361279,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-03-13,2022-02-26,3,2,перенос в другой месяц
412,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №1,APP1,1100360119,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-14,2022-03-26,3,3,без переноса
540,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №2,APP1,1100363104,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-14,2022-03-07,3,3,без переноса
577,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381291,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-14,2022-03-07,3,3,без переноса
119,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381245,ТР Самосвал HD1500-8 №1622,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-03-17,2022-02-27,3,2,перенос в другой месяц
86,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №2,APP1,1100360787,Техническое обслуживание 2,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-03-17,2022-02-07,3,2,перенос в другой месяц
606,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №3,APP1,1100364244,Техническое обслуживание 3,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-22,2022-04-22,3,4,перенос в другой месяц
20,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №1,APP1,1100360306,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-23,2022-04-06,3,4,перенос в другой месяц
9,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100360706,ТР гидросистемы,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-23,2022-03-27,3,3,без переноса
509,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381176,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-29,2022-03-29,3,3,без переноса
474,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №1,APP1,1100360166,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-29,2022-03-29,3,3,без переноса
159,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №2,APP1,1100360759,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-31,2022-03-31,3,3,без переноса
150,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623,Замена,APP1,1100360749,Замена колес,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-31,2022-03-31,3,3,без переноса
607,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364224,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-04-02,2022-05-03,4,5,перенос в другой месяц
