,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса
661,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381348,ТР Самосвал HD1500-8 №1630,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-03,2022-07-11,7,7,без переноса
615,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364228,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-03,2022-08-03,7,8,перенос в другой месяц
354,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №2,APP1,1100361448,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-05,2022-07-05,7,7,без переноса
73,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Замена,APP1,1100360692,Замена конечной передачи,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-10,2022-07-15,7,7,без переноса
75,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Замена,APP1,1100360693,Замена1 двигателя,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-10,2022-07-15,7,7,без переноса
79,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622,Замена,APP1,1100360696,Замена кузова,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-10,2022-07-15,7,7,без переноса
91,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №1,APP1,1100360783,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-10,2022-07-15,7,7,без переноса
226,Кузов,100000010309,Кузов ЧАС,Капитальный ремонт,APP1,1100360795,КР кузова,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-07-10,2022-07-10,7,7,без переноса
220,ДВС SDA16V159-3,100000009830,Двигатель вн.сгорания SDA16V159-3 МТЧ,Капитальный ремонт 1,APP1,1100360695,КР1 двигателя,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-07-10,2022-07-10,7,7,без переноса
218,Редуктор бортовой левый,100000009827,Редуктор бортовой левый МТЧ,Капитальный ремонт,APP1,1100360694,КР конечных передач,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  ТРКБ МТРЦ ТКБЕ КРМТ ПЛАН,2022-07-10,2022-07-10,7,7,без переноса
123,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381249,ТР Самосвал HD1500-8 №1622,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-10,2022-07-15,7,7,без переноса
545,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №1,APP1,1100363100,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-12,2022-07-05,7,7,без переноса
581,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381295,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-12,2022-07-05,7,7,без переноса
418,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №1,APP1,1100360242,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-13,2022-07-25,7,7,без переноса
451,Самосвал карьерный HD1500-8 №1627,100000022743,ТР Самосвал HD1500-8 №1627,Текущий ремонт,APP1,1100381274,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-13,2022-07-25,7,7,без переноса
164,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №1,APP1,1100360755,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-13,2022-07-13,7,7,без переноса
196,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100381283,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-13,2022-07-13,7,7,без переноса
616,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №2,APP1,1100364240,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-14,2022-08-14,7,8,перенос в другой месяц
480,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №1,APP1,1100360169,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-15,2022-07-15,7,7,без переноса
513,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381360,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-15,2022-07-15,7,7,без переноса
25,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №3,APP1,1100360318,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  ТРКБ МТРЦ ТКБЕ ПЛАН,2022-07-21,2022-08-04,7,8,перенос в другой месяц
55,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100381264,ТР Самосвал HD1500-8 №1621,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-21,2022-08-04,7,8,перенос в другой месяц
284,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100381302,ТР Самосвал HD1500-8 №1624,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-23,2022-07-23,7,7,без переноса
245,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №1,APP1,1100360734,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-23,2022-07-23,7,7,без переноса
617,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364229,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-26,2022-08-26,7,8,перенос в другой месяц
355,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №1,APP1,1100361442,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-07-27,2022-07-27,7,7,без переноса
387,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381314,ТР Самосвал HD1500-8 №1626,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-07-27,2022-07-27,7,7,без переноса
81,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100360896,ТР рулевого управления,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-03,2022-08-08,8,8,без переноса
419,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №4,APP1,1100360266,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-03,2022-08-15,8,8,без переноса
115,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Капитальный ремонт,APP1,1100360726,КР ходовой части,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-08-03,2022-08-08,8,8,без переноса
92,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №4,APP1,1100360794,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-03,2022-08-08,8,8,без переноса
165,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №4,APP1,1100360806,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-05,2022-08-05,8,8,без переноса
481,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №4,APP1,1100360293,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-05,2022-08-05,8,8,без переноса
618,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №5,APP1,1100364251,Техническое обслуживание 5,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-06,2022-09-06,8,9,перенос в другой месяц
546,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №4,APP1,1100363111,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-06,2022-07-30,8,7,перенос в другой месяц
26,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №1,APP1,1100360307,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-09,2022-08-23,8,8,без переноса
337,Кузов,100000021370,Самосвал HD1500-8 №1624,Капитальный ремонт,APP1,1100360646,КР кузова,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-08-11,2022-08-11,8,8,без переноса
246,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №3,APP1,1100360823,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-11,2022-08-11,8,8,без переноса
234,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624,Замена,APP1,1100360729,Замена колес,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-11,2022-08-11,8,8,без переноса
285,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100381303,ТР Самосвал HD1500-8 №1624,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-11,2022-08-11,8,8,без переноса
662,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381349,ТР Самосвал HD1500-8 №1630,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-17,2022-08-25,8,8,без переноса
619,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364230,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-17,2022-09-17,8,9,перенос в другой месяц
356,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №3,APP1,1100361451,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-17,2022-08-17,8,8,без переноса
388,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381315,ТР Самосвал HD1500-8 №1626,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-17,2022-08-17,8,8,без переноса
339,Кузов,100000021376,Самосвал HD1500-8 №1625,Капитальный ремонт,APP1,1100361133,КР кузова,ОТКР ПКАЛ ДМНП,ГОД  УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-08-17,2022-08-17,8,8,без переноса
452,Самосвал карьерный HD1500-8 №1627,100000022743,ТР Самосвал HD1500-8 №1627,Текущий ремонт,APP1,1100381278,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-24,2022-09-05,8,9,перенос в другой месяц
420,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №1,APP1,1100360243,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-24,2022-09-05,8,9,перенос в другой месяц
93,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №1,APP1,1100360784,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-26,2022-08-31,8,8,без переноса
482,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №1,APP1,1100360170,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-26,2022-08-26,8,8,без переноса
514,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381361,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-26,2022-08-26,8,8,без переноса
124,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381250,ТР Самосвал HD1500-8 №1622,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-26,2022-08-31,8,8,без переноса
166,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №1,APP1,1100360756,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-28,2022-08-28,8,8,без переноса
197,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100381284,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-28,2022-08-28,8,8,без переноса
620,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №2,APP1,1100364241,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-29,2022-09-29,8,9,перенос в другой месяц
56,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100381265,ТР Самосвал HD1500-8 №1621,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-29,2022-09-12,8,9,перенос в другой месяц
27,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №2,APP1,1100360316,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-29,2022-09-12,8,9,перенос в другой месяц
582,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381296,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-08-29,2022-08-22,8,8,без переноса
547,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №1,APP1,1100363101,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-08-29,2022-08-22,8,8,без переноса
286,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100381304,ТР Самосвал HD1500-8 №1624,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-07,2022-09-07,9,9,без переноса
247,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №1,APP1,1100360735,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-07,2022-09-07,9,9,без переноса
342,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100361276,ТР рулевого управления,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-09,2022-09-09,9,9,без переноса
344,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626,Замена,APP1,1100361277,Замена колес,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-09,2022-09-09,9,9,без переноса
357,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №1,APP1,1100361443,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-09,2022-09-09,9,9,без переноса
621,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364231,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-09,2022-10-10,9,10,перенос в другой месяц
378,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Текущий ремонт 1,APP1,1100362964,ТР1 ходовой части,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-09,2022-09-09,9,9,без переноса
389,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381316,ТР Самосвал HD1500-8 №1626,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-09,2022-09-09,9,9,без переноса
663,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381350,ТР Самосвал HD1500-8 №1630,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-09,2022-09-17,9,9,без переноса
453,Самосвал карьерный HD1500-8 №1627,100000022743,ТР Самосвал HD1500-8 №1627,Текущий ремонт,APP1,1100381279,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-14,2022-09-26,9,9,без переноса
421,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №2,APP1,1100360257,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-14,2022-09-26,9,9,без переноса
515,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381362,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-16,2022-09-16,9,9,без переноса
483,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №2,APP1,1100360284,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-16,2022-09-16,9,9,без переноса
228,Кузов,100000010310,Кузов ЧАС,Капитальный ремонт,APP1,1100360796,КР кузова,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-09-17,2022-09-17,9,9,без переноса
222,ДВС SDA16V159-3,100000009831,Двигатель вн.сгорания SDA16V159-3 МТЧ,Капитальный ремонт 1,APP1,1100360747,КР1 двигателя,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-09-17,2022-09-17,9,9,без переноса
198,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100381285,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-17,2022-09-17,9,9,без переноса
151,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623,Замена,APP1,1100360750,Замена колес,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-17,2022-09-17,9,9,без переноса
154,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100360709,ТР рулевого управления,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-17,2022-09-17,9,9,без переноса
188,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Капитальный ремонт,APP1,1100360808,КР ходовой части,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-09-17,2022-09-17,9,9,без переноса
167,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №2,APP1,1100360801,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-17,2022-09-17,9,9,без переноса
148,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623,Замена,APP1,1100360748,Замена кузова,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-17,2022-09-17,9,9,без переноса
144,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Замена,APP1,1100360746,Замена1 двигателя,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-17,2022-09-17,9,9,без переноса
57,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100381266,ТР Самосвал HD1500-8 №1621,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-18,2022-10-02,9,10,перенос в другой месяц
28,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №1,APP1,1100360309,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-09-18,2022-10-02,9,10,перенос в другой месяц
125,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381251,ТР Самосвал HD1500-8 №1622,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-19,2022-09-24,9,9,без переноса
583,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381297,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-09-19,2022-09-12,9,9,без переноса
