Тип техкарты,Группа,СчетГруппТехкарт,ТкстТехкрт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Страт. предупр. ТОРО,группа_счетчик,код стратегии_счетчик
A,A0003596,06,КР главной передачи,"30,000","19,700",2-0561,A000359606,2-056106
A,A0003596,58,ТО дополнительных систем,"20,000","10,000",2-0890,A000359658,2-089058
A,A0003596,69,ТР гидросистемы,"96,000","48,000",2-0864,A000359669,2-086469
A,A0003596,70,ТР двигателя,"72,000","30,500",2-0886,A000359670,2-088670
A,A0003596,71,ТР дополнительных систем,"24,000","12,000",2-0890,A000359671,2-089071
A,A0003596,85,ТР ходовой части,"96,000","48,000",2-0362,A000359685,2-036285
A,A0003596,87,ТР электрооборудования,"48,000","24,000",2-0265,A000359687,2-026587
A,A0003596,ГЗ,Замена главной передачи,"42,000","21,000",2-0877,A0003596ГЗ,2-0877ГЗ
A,A0003596,ЕТ,ЕТО,"0,336","0,336",1-0000,A0003596ЕТ,1-0000ЕТ
A,A0003596,ЗБ,Замена бортовых редукторов,"54,000","27,000",2-0876,A0003596ЗБ,2-0876ЗБ
A,A0003596,ЗГ,Замена гидротрансформатора,"42,000","21,000",2-0878,A0003596ЗГ,2-0878ЗГ
A,A0003596,ЗД,Замена двигателя,"180,000","90,000",2-0886,A0003596ЗД,2-0886ЗД
A,A0003596,ЗЗ,Замена кузова,"48,000","24,000",2-0889,A0003596ЗЗ,2-0889ЗЗ
A,A0003596,ЗК,Замена коробки передач,"52,000","29,000",2-0363,A0003596ЗК,2-0363ЗК
A,A0003596,ЗС,Замена колеса,"35,700","17,900",2-0871,A0003596ЗС,2-0871ЗС
A,A0003596,КК,КР комплексный,"998,700","609,900",2-0874,A0003596КК,2-0874КК
A,A0003596,О1,Техническое обслуживание 1,"8,000","5,000",2-0387,A0003596О1,2-0387О1
A,A0003596,О2,Техническое обслуживание 2,"11,100","6,600",2-0387,A0003596О2,2-0387О2
A,A0003596,О3,Техническое обслуживание 3,"16,100","9,400",2-0387,A0003596О3,2-0387О3
A,A0003596,О4,Техническое обслуживание 4,"30,000","16,800",2-0387,A0003596О4,2-0387О4
A,A0003596,О5,Техническое обслуживание 5,"18,200","10,900",2-0387,A0003596О5,2-0387О5
A,A0003596,О6,Техническое обслуживание 6,"32,000","17,800",2-0387,A0003596О6,2-0387О6
A,A0003596,Т1,ТР тормозной системы,"96,000","48,000",2-0872,A0003596Т1,2-0872Т1
A,A0003596,ТЖ,ТР комплексный,"566,000","379,000",2-0874,A0003596ТЖ,2-0874ТЖ
A,A0003596,ТЗ,ТР кузова,"48,000","24,000",2-0889,A0003596ТЗ,2-0889ТЗ
A,A0003596,ТО,Техническое обслуживание,"10,500","10,500",1-0011,A0003596ТО,1-0011ТО
A,A0003596,ТП,ТР пневмосистемы,"24,000","24,000",2-0888,A0003596ТП,2-0888ТП
A,A0003596,ТР,Текущий ремонт,"30,000","15,000",2-0869,A0003596ТР,2-0869ТР
A,A0003596,ТУ,ТР рулевого управления,"60,000","30,000",2-0887,A0003596ТУ,2-0887ТУ